date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:03	185197/185197	---M-Z	200	added ('OK')	text/html	etag:W/%2290b464f1eee2ab75e4abbc4689c357da--gzip%22	https://www.cornell-wsc.com/	./cornell-wsc-backup/www.cornell-wsc.com/index.html	(from )
20:23:03	503/503	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Feb%202026%2000:41:10%20GMT	https://www.cornell-wsc.com/robots.txt		(from )
20:23:04	90913/90913	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Feb%202026%2001:23:03%20GMT	https://www.cornell-wsc.com/cart	./cornell-wsc-backup/www.cornell-wsc.com/cart.html	(from https://www.cornell-wsc.com/)
20:23:05	249740/249740	---M-Z	200	added ('OK')	text/html	etag:W/%22d709bc943627de8943f42250ecbcf5f1%22	https://www.cornell-wsc.com/about	./cornell-wsc-backup/www.cornell-wsc.com/about.html	(from https://www.cornell-wsc.com/)
20:23:06	238998/238998	---M-Z	200	added ('OK')	text/html	etag:W/%2200c1fcb72c00d8546f6e15d17165f88b%22	https://www.cornell-wsc.com/executive-board	./cornell-wsc-backup/www.cornell-wsc.com/executive-board.html	(from https://www.cornell-wsc.com/)
20:23:06	139049/139049	---M-Z	200	added ('OK')	text/html	etag:W/%22ae019103a5df3d31bbe8661c3ec2e978--gzip%22	https://www.cornell-wsc.com/mentors	./cornell-wsc-backup/www.cornell-wsc.com/mentors.html	(from https://www.cornell-wsc.com/)
20:23:07	108107/108107	---M-Z	200	added ('OK')	text/html	etag:W/%2296b999e248556b1f85fa8f5a65a8c929--gzip%22	https://www.cornell-wsc.com/members	./cornell-wsc-backup/www.cornell-wsc.com/members.html	(from https://www.cornell-wsc.com/)
20:23:08	160371/160371	---M-Z	200	added ('OK')	text/html	etag:W/%223b5fb8da4defb1e2eafd18b57376ca42--gzip%22	https://www.cornell-wsc.com/recruitment1	./cornell-wsc-backup/www.cornell-wsc.com/recruitment1.html	(from https://www.cornell-wsc.com/)
20:23:09	335221/335221	---M-Z	401	error ('Unauthorized')	text/html	etag:W/%2231557649e9a9e93b122fc33177aa564a%22	https://www.cornell-wsc.com/members-only	./cornell-wsc-backup/www.cornell-wsc.com/members-only.6.delayed	(from https://www.cornell-wsc.com/)
20:23:10	0/0	---M--	302	error ('Found')	text/html	etag:W/%2223bfa3d62918b1360adc082b28b5e613%22	https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.7.delayed	(from https://www.cornell-wsc.com/)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.8.delayed	(from https://www.cornell-wsc.com/cart)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.9.delayed	(from https://www.cornell-wsc.com/about)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.a.delayed	(from https://www.cornell-wsc.com/executive-board)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.b.delayed	(from https://www.cornell-wsc.com/mentors)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.c.delayed	(from https://www.cornell-wsc.com/members)
20:23:11	0/-1	---M--	302	error ('')			https://www.cornell-wsc.com/our-team	./cornell-wsc-backup/www.cornell-wsc.com/our-team.d.delayed	(from https://www.cornell-wsc.com/recruitment1)
